SettlementPoint,Year,Month,AveragePrice
LZ_SOUTH,2016,2,15.9359
LZ_SOUTH,2016,3,19.5211
LZ_SOUTH,2016,4,20.738
LZ_SOUTH,2016,5,20.6917
LZ_SOUTH,2016,6,27.4717
LZ_SOUTH,2016,7,28.8896
LZ_SOUTH,2016,8,31.8233
LZ_SOUTH,2016,9,28.762
LZ_SOUTH,2016,10,30.031
LZ_SOUTH,2016,11,20.6334
LZ_SOUTH,2016,12,26.3268
LZ_SOUTH,2017,1,25.1555
LZ_SOUTH,2017,2,21.7937
LZ_SOUTH,2017,3,26.5282
LZ_SOUTH,2017,4,28.5499
LZ_SOUTH,2017,5,29.9797
LZ_SOUTH,2017,6,36.7834
LZ_SOUTH,2017,7,34.1933
LZ_SOUTH,2017,8,33.4578
LZ_SOUTH,2017,9,28.3303
LZ_SOUTH,2017,10,28.464
LZ_SOUTH,2017,11,27.8657
LZ_SOUTH,2017,12,25.4042
LZ_SOUTH,2018,1,46.1326
LZ_SOUTH,2018,2,25.197
LZ_SOUTH,2018,3,26.76
LZ_SOUTH,2018,4,28.187
LZ_SOUTH,2018,5,41.2744
LZ_SOUTH,2018,6,32.2587
LZ_SOUTH,2018,7,80.4476
LZ_SOUTH,2018,8,33.6906
LZ_SOUTH,2018,9,28.3838
LZ_SOUTH,2018,10,32.127
LZ_SOUTH,2018,11,33.5445
LZ_SOUTH,2018,12,32.1127
LZ_SOUTH,2019,1,27.0579
LZ_SOUTH,2019,2,23.729
LZ_SOUTH,2019,3,30.5295
LZ_SOUTH,2019,4,27.1478
LZ_SOUTH,2019,5,27.211
LZ_SOUTH,2019,6,27.2596
LZ_SOUTH,2019,7,31.1322
LZ_SOUTH,2019,8,127.109
LZ_SOUTH,2019,9,81.0091
LZ_SOUTH,2019,10,32.9421
LZ_SOUTH,2019,11,25.8037
LZ_SOUTH,2019,12,19.7869
LZ_WEST,2016,1,19.5193
LZ_WEST,2016,2,15.0445
LZ_WEST,2016,3,16.0027
LZ_WEST,2016,4,17.1537
LZ_WEST,2016,5,17.7375
LZ_WEST,2016,6,23.4888
LZ_WEST,2016,7,27.1788
LZ_WEST,2016,8,30.0106
LZ_WEST,2016,9,26.7677
LZ_WEST,2016,10,25.1823
LZ_WEST,2016,11,19.3431
LZ_WEST,2016,12,25.1658
LZ_WEST,2017,1,23.2314
LZ_WEST,2017,2,18.4771
LZ_WEST,2017,3,20.2512
LZ_WEST,2017,4,20.3886
LZ_WEST,2017,5,22.8678
LZ_WEST,2017,6,27.5123
LZ_WEST,2017,7,31.1302
LZ_WEST,2017,8,27.2139
LZ_WEST,2017,9,27.0118
LZ_WEST,2017,10,22.1733
LZ_WEST,2017,11,22.1529
LZ_WEST,2017,12,21.8723
LZ_WEST,2018,1,37.2933
LZ_WEST,2018,2,22.1241
LZ_WEST,2018,3,22.3016
LZ_WEST,2018,4,21.1281
LZ_WEST,2018,5,49.6001
LZ_WEST,2018,6,57.9675
LZ_WEST,2018,7,101.471
LZ_WEST,2018,8,33.2899
LZ_WEST,2018,9,27.1011
LZ_WEST,2018,10,30.0046
LZ_WEST,2018,11,31.224
LZ_WEST,2018,12,34.9808
LZ_WEST,2019,1,27.4615
LZ_WEST,2019,2,22.799
LZ_WEST,2019,3,31.283
LZ_WEST,2019,4,21.6992
LZ_WEST,2019,5,28.852
LZ_WEST,2019,6,32.0268
LZ_WEST,2019,7,32.0757
LZ_WEST,2019,8,128.8765
LZ_WEST,2019,9,83.4711
LZ_WEST,2019,10,49.3834
LZ_WEST,2019,11,49.3408
LZ_WEST,2019,12,39.5026
