SettlementPoint,NodeType,YearMonth,AvgPrice
LZ_AEN,LoadZone,2017-03,22.997
LZ_AEN,LoadZone,2017-04,24.1181
LZ_AEN,LoadZone,2017-05,25.2938
LZ_AEN,LoadZone,2017-06,27.9166
LZ_AEN,LoadZone,2017-07,31.4014
LZ_AEN,LoadZone,2017-08,27.4656
LZ_AEN,LoadZone,2017-09,24.6288
LZ_AEN,LoadZone,2017-10,24.0199
LZ_AEN,LoadZone,2017-11,23.0194
LZ_AEN,LoadZone,2017-12,21.0629
LZ_AEN,LoadZone,2018-01,38.838
LZ_AEN,LoadZone,2018-02,21.9139
LZ_AEN,LoadZone,2018-03,22.2028
LZ_AEN,LoadZone,2018-04,22.1885
LZ_AEN,LoadZone,2018-05,33.1662
LZ_AEN,LoadZone,2018-06,30.2861
LZ_AEN,LoadZone,2018-07,78.9514
LZ_AEN,LoadZone,2018-08,31.7321
LZ_AEN,LoadZone,2018-09,27.1673
LZ_AEN,LoadZone,2018-10,30.31
LZ_AEN,LoadZone,2018-11,30.4681
LZ_AEN,LoadZone,2018-12,30.0948
LZ_AEN,LoadZone,2019-01,25.108
LZ_AEN,LoadZone,2019-02,21.5138
LZ_AEN,LoadZone,2019-03,27.7422
LZ_AEN,LoadZone,2019-04,23.2703
LZ_AEN,LoadZone,2019-05,24.6762
LZ_AEN,LoadZone,2019-06,24.4168
LZ_AEN,LoadZone,2019-07,29.7091
LZ_AEN,LoadZone,2019-08,126.5269
LZ_AEN,LoadZone,2019-09,80.1696
LZ_AEN,LoadZone,2019-10,29.2804
LZ_AEN,LoadZone,2019-11,24.408
LZ_AEN,LoadZone,2019-12,19.0517
LZ_CPS,LoadZone,2016-01,19.3538
LZ_CPS,LoadZone,2016-02,15.52
LZ_CPS,LoadZone,2016-03,16.8982
LZ_CPS,LoadZone,2016-04,19.0694
LZ_CPS,LoadZone,2016-05,18.4799
LZ_CPS,LoadZone,2016-06,24.9581
LZ_CPS,LoadZone,2016-07,27.968
LZ_CPS,LoadZone,2016-08,31.3066
LZ_CPS,LoadZone,2016-09,28.1302
LZ_CPS,LoadZone,2016-10,26.2503
LZ_CPS,LoadZone,2016-11,21.7147
LZ_CPS,LoadZone,2016-12,26.5964
LZ_CPS,LoadZone,2017-01,23.7726
LZ_CPS,LoadZone,2017-02,20.9195
LZ_CPS,LoadZone,2017-03,23.8615
LZ_CPS,LoadZone,2017-04,25.3379
LZ_CPS,LoadZone,2017-05,26.537
LZ_CPS,LoadZone,2017-06,30.416
LZ_CPS,LoadZone,2017-07,32.1153
LZ_CPS,LoadZone,2017-08,28.1376
LZ_CPS,LoadZone,2017-09,25.1367
LZ_CPS,LoadZone,2017-10,25.276
LZ_CPS,LoadZone,2017-11,23.5726
LZ_CPS,LoadZone,2017-12,22.0484
LZ_CPS,LoadZone,2018-01,41.3129
LZ_CPS,LoadZone,2018-02,22.5174
LZ_CPS,LoadZone,2018-03,25.2893
LZ_CPS,LoadZone,2018-04,26.5354
LZ_CPS,LoadZone,2018-05,36.0556
LZ_CPS,LoadZone,2018-06,30.7273
LZ_CPS,LoadZone,2018-07,79.1244
LZ_CPS,LoadZone,2018-08,31.8657
LZ_CPS,LoadZone,2018-09,27.513
LZ_CPS,LoadZone,2018-10,31.636
LZ_CPS,LoadZone,2018-11,32.0412
LZ_CPS,LoadZone,2018-12,30.3092
LZ_CPS,LoadZone,2019-01,26.7983
LZ_CPS,LoadZone,2019-02,24.1101
LZ_CPS,LoadZone,2019-03,29.3517
LZ_CPS,LoadZone,2019-04,25.3636
LZ_CPS,LoadZone,2019-05,26.2461
LZ_CPS,LoadZone,2019-06,26.3913
LZ_CPS,LoadZone,2019-07,30.6672
